,original_idx,text
0,0,"O cara vive em outro mundo
Não no mundo real
REFUGIADOS são os que vivem
Nas favelas vizinhas as suas fortalezas"
1,1,Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.
2,2,Os 'cumpanhero' quebraram todas as regras.
3,3,é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos
4,4,bom dia macaco branco haha
5,5,imagino... ow mandei fazer um body opressor pra Duda! hahahaha
6,6,parabéns brou! Menina é bom demais!
7,7,"PARABÉNS IRMÃO, SAÚDE E #PAZ. AMÉM."
8,8,"Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs."
9,9,E o sono... rs. Cheiros. Tb adorei!
10,10,"Oww, linda.. trabalho amanhã =/ dó"
11,11,"que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!"
12,12,"SOu nada, faço o básico hahaha"
13,13,"Taí, sou ótima com sobremesas, doces, bolos..."
14,14,"Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?"
15,15,"OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP..."
16,16,cedemos ao encanto e caímos de boca meu caro!
17,17,Perfume pra mão jovem amante.....pra mão. Cappice?
18,18,'Estimo que se foda' será mais profissional.
19,19,bom dia sapatao da minha vida
20,20,falei isso desde ontem ..kkkk
21,21,"isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem"
22,22,e que tal uma linha de bonés??
23,23,"[9/3 09:11] jhu : Bom viado mais lindo
[9/3 09:11] Dj Luizinho: Bom dia sapatão mais gostoza"
24,24,[ENEM] Questão 1: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ( ) SOMETIMES ( ) VIDA DE GADO ( ) ANA JULIA ( ) PA GANGNAM STYLE
25,25,"[EXTRA] Imagine se fosse um branco fazendo isso com um muçulmano, seria notícia no país inteiro"
26,26,[EXTRAOFICIAL] O terrorista do Louvre é um egípcio de 29 anos que chegou na França mês passado. Equipe.
27,27,"[FUTEBOL]
Escolinha da ADC Santana Adc é Pedreira na Copa Rio Branco em Amparo"
28,28,"18:40] Max: Vai tomar no teu cu então
18:40] Max: Sua gorda feia
18:40] Max :Meu amor por você
18:41] Leticia: Eu sou gorda Maxwell?"
29,29,Ê lá em casa
30,30,DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...
31,31,aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir
32,32,"Aaaaaa Turma de 9 homens e eu, o prof fala de cabo sapatão (conector femea femea) e todo mundo olha pra mim"
